Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1717517642,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717517645,50,GET,/productpage?u=normal,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,85,0,1500.0,1269.9090598233263,152.7458531782031,2004.5703849755228,4915.917647058824
1717517645,50,GET,/productpage?u=test,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,28,0,710.0,725.8195503215704,424.2365739773959,919.5238710381091,4863.785714285715
1717517645,50,,Aggregated,0.000000,0.000000,910,1500,1700,1800,1900,2000,2000,2000,2000,2000,2000,113,0,910.0,1135.0904203007674,152.7458531782031,2004.5703849755228,4903.0
1717517648,50,GET,/productpage?u=normal,24.000000,0.000000,920,1000,1100,1100,1200,1300,1400,1500,1500,1500,1500,164,0,1000.0,1121.6003881247782,152.7458531782031,2004.5703849755228,4932.542682926829
1717517648,50,GET,/productpage?u=test,10.250000,0.000000,900,960,1000,1000,1200,1200,1300,1400,1500,1500,1500,116,0,880.0,892.412739029106,424.2365739773959,1504.6521069016308,4921.775862068966
1717517648,50,,Aggregated,34.250000,0.000000,940,1100,1200,1300,1700,1800,2000,2000,2000,2000,2000,280,0,930.0,1026.651219213714,152.7458531782031,2004.5703849755228,4928.082142857143
1717517651,50,GET,/productpage?u=normal,24.142857,0.000000,800,890,960,1000,1100,1200,1300,1400,1500,1500,1500,256,0,830.0,998.8330637570471,152.7458531782031,2004.5703849755228,4909.5625
1717517651,50,GET,/productpage?u=test,17.428571,0.000000,820,890,950,1000,1100,1200,1200,1300,1500,1500,1500,211,0,810.0,841.0570983194539,424.2365739773959,1504.6521069016308,4960.597156398104
1717517651,50,,Aggregated,41.571429,0.000000,820,930,1000,1100,1400,1800,1900,2000,2000,2000,2000,467,0,820.0,927.5467067820317,152.7458531782031,2004.5703849755228,4932.620985010707
1717517654,50,GET,/productpage?u=normal,26.600000,0.000000,760,810,890,930,1000,1100,1300,1300,1500,1500,1500,372,0,780.0,888.1331924417917,152.7458531782031,2004.5703849755228,4940.225806451613
1717517654,50,GET,/productpage?u=test,22.700000,0.000000,760,830,880,900,1000,1100,1200,1200,1500,1500,1500,336,0,750.0,765.5211450404577,413.04056718945503,1504.6521069016308,4970.910714285715
1717517654,50,,Aggregated,49.300000,0.000000,760,820,880,920,1000,1100,1200,1300,1500,1500,1500,708,0,770.0,829.9444241835315,152.7458531782031,2004.5703849755228,4954.78813559322
1717517657,50,GET,/productpage?u=normal,32.000000,0.000000,740,800,870,920,990,1000,1100,1100,1400,1400,1400,462,0,780.0,873.8605380602568,152.7458531782031,2004.5703849755228,4930.935064935065
1717517657,50,GET,/productpage?u=test,34.000000,0.000000,730,800,850,890,1000,1000,1100,1200,1300,1300,1300,411,0,760.0,773.7117814196959,413.04056718945503,1504.6521069016308,4951.766423357664
1717517657,50,,Aggregated,66.000000,0.000000,740,800,860,900,1000,1000,1100,1200,1400,1400,1400,873,0,770.0,826.7114670645287,152.7458531782031,2004.5703849755228,4940.742268041237
1717517660,50,GET,/productpage?u=normal,34.400000,0.000000,680,790,870,920,980,1000,1100,1100,1200,1200,1200,584,0,770.0,833.2034963843323,152.7458531782031,2004.5703849755228,4925.993150684932
1717517660,50,GET,/productpage?u=test,32.800000,0.000000,670,760,830,880,940,1000,1000,1100,1100,1100,1100,539,0,740.0,744.4647522111889,390.57492185384035,1504.6521069016308,4943.60853432282
1717517660,50,,Aggregated,67.200000,0.000000,670,780,850,900,970,1000,1100,1100,1200,1200,1200,1123,0,760.0,790.6120599557265,152.7458531782031,2004.5703849755228,4934.447907390917
1717517663,50,GET,/productpage?u=normal,37.700000,0.000000,500,580,760,830,960,1000,1100,1100,1200,1200,1200,766,0,670.0,739.9845337027115,152.7458531782031,2004.5703849755228,4913.860313315927
1717517663,50,GET,/productpage?u=test,37.600000,0.000000,500,560,690,790,930,1000,1000,1100,1100,1100,1100,694,0,670.0,676.9722232740019,338.87232607230544,1504.6521069016308,4946.5734870317
1717517663,50,,Aggregated,75.300000,0.000000,500,570,720,820,950,1000,1000,1100,1200,1200,1200,1460,0,670.0,710.0321066907084,152.7458531782031,2004.5703849755228,4929.410273972603
