totalTime,avgCost,totalCost
10,2.5,0.41666666666666663
20,2.5,0.8333333333333333
30,2.5,1.25
40,2.5,1.6666666666666665
50,2.4999999999999996,2.083333333333333
60,2.4999999999999996,2.4999999999999996
70,2.4999999999999996,2.916666666666666
80,2.4999999999999996,3.3333333333333326
90,2.4999999999999996,3.749999999999999
100,2.4999999999999996,4.166666666666666
110,2.5,4.583333333333333
120,2.5,5.0
130,2.5000000000000004,5.416666666666667
140,2.5000000000000004,5.833333333333334
150,2.5000000000000004,6.250000000000001
