Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4231,0,5500.0,5926.12356453145,2536.5696599474177,31252.713192021474,10242.993854880642,23.529642238808975,0.0,5500,6300,7400,7800,8800,9400,9900,10000,19000,31000,31000
GET,/cart,6655,0,6200.0,6318.967118340567,772.4368349881843,17058.26205201447,11578.679338842976,37.01010850845515,0.0,6200,6800,7100,7400,8100,8700,9700,10000,15000,17000,17000
POST,/cart,6272,0,8700.0,8780.550089883342,1249.8406569939107,19478.574102045968,17085.556760204083,34.88015034786336,0.0,8700,9200,9600,9900,10000,11000,12000,13000,17000,19000,19000
POST,/cart/checkout,2000,0,5400.0,5442.724405930497,1376.147322007455,19958.538974053226,6561.596,11.122496922150308,0.0,5400,5700,5900,6100,6400,6600,6900,7100,19000,20000,20000
GET,/product/0PUK6V6EV0,3128,0,6300.0,6200.692768667803,1043.4604160254821,19197.550219018012,7612.155051150895,17.395585186243082,0.0,6300,6600,6800,6900,7200,7500,7900,8400,16000,19000,19000
GET,/product/1YMWWN1N4O,3214,0,6300.0,6256.244942279861,1042.5885849399492,19271.43853099551,7628.497510889857,17.873852553895542,0.0,6300,6600,6800,6900,7300,7500,7900,8300,14000,19000,19000
GET,/product/2ZYFJ3GM2N,3214,0,6300.0,6243.852429939759,1076.0358379920945,21287.795555079356,7635.576540136901,17.873852553895542,0.0,6300,6600,6800,6900,7200,7500,7800,8200,15000,21000,21000
GET,/product/66VCHSJNUP,3079,0,6300.0,6207.653896557927,998.9553019404411,21066.285873996094,7597.029555050341,17.1230840116504,0.0,6300,6600,6800,6900,7200,7500,7900,8300,14000,21000,21000
GET,/product/6E92ZMYYFZ,3261,0,6300.0,6233.967499041248,1010.6398280477151,21184.589223004878,7581.464581416743,18.135231231566078,0.0,6300,6600,6800,6900,7200,7500,7900,8300,17000,21000,21000
GET,/product/9SIQT8TOJO,3232,0,6300.0,6169.692424533358,1126.2583390343934,22518.814485054463,7636.931930693069,17.973955026194897,0.0,6300,6600,6800,6900,7200,7400,7800,8200,13000,23000,23000
GET,/product/L9ECAV7KIM,3190,0,6300.0,6201.664859038014,1033.5417330497876,17756.162974983454,7601.162695924765,17.74038259082974,0.0,6300,6600,6800,6900,7200,7500,7800,8200,13000,18000,18000
GET,/product/LS4PSXUNUM,3089,0,6300.0,6217.621910740431,1023.0748240137473,21871.494911960326,7596.15668501133,17.17869649626115,0.0,6300,6600,6800,6900,7200,7500,7900,8400,16000,22000,22000
GET,/product/OLJCESPC7Z,3198,0,6300.0,6221.306781090136,992.4446759978309,18767.207785975188,7628.927767354597,17.784872578518343,0.0,6300,6600,6800,6900,7200,7500,8000,8500,15000,19000,19000
POST,/setCurrency,4466,0,4700.0,5069.725452388246,2651.1916189920157,27285.958116990514,10270.610613524406,24.836535627161638,0.0,4800,5100,5500,5700,6900,8100,9200,9800,19000,27000,27000
,Aggregated,52229,0,6300.0,6386.562103453473,772.4368349881843,31252.713192021474,9655.988933351204,290.4584458734942,0.0,6300,6700,7100,7400,8400,9300,10000,11000,16000,22000,31000
