totalTime,avgCost,totalCost
10,2.0,0.3333333333333333
20,2.0,0.6666666666666666
30,2.0,1.0
40,2.0,1.3333333333333333
50,2.0,1.6666666666666665
60,2.0,1.9999999999999998
70,1.9999999999999996,2.333333333333333
80,2.0,2.6666666666666665
90,2.0,3.0
100,2.0,3.3333333333333335
110,2.0,3.666666666666667
120,2.0,4.0
130,2.0,4.333333333333333
140,1.9999999999999996,4.666666666666666
150,1.9999999999999996,4.999999999999999
160,1.9999999999999996,5.333333333333332
170,1.9999999999999996,5.666666666666665
180,1.9999999999999996,5.999999999999998
190,1.9999999999999991,6.333333333333331
200,1.9999999999999991,6.666666666666664
210,1.9999999999999991,6.999999999999997
