Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1676,0,91,93.01602888344186,24.2034470429644,1053.435424924828,10288.43138424821,2.8024205344406425,0.0,91,95,98,100,110,110,170,190,1000,1100,1100
GET,/cart,4833,0,83,88.56626955959764,22.27641106583178,1007.8437499469146,14442.777777777777,8.081204321570182,0.0,83,92,97,100,120,160,170,180,940,1000,1000
POST,/cart,4760,0,98,115.6388833264071,41.8244400061667,1091.9410809874535,18287.617647058825,7.9591418519913235,0.0,98,110,150,160,170,180,190,190,1100,1100,1100
POST,/cart/checkout,1600,0,100.0,118.08731172284752,39.19467609375715,1953.9714029524475,6562.245,2.67534179898868,0.0,100,110,130,160,170,180,190,190,1800,2000,2000
GET,/product/0PUK6V6EV0,2285,0,68,67.12748187378098,20.10067703668028,1860.5219549499452,7741.108096280088,3.820722506680709,0.0,68,84,89,91,97,100,110,120,1000,1900,1900
GET,/product/1YMWWN1N4O,2307,0,69,64.85267411641927,19.478368922136724,1848.1965720420703,7763.939315127872,3.857508456416803,0.0,69,84,88,91,95,100,110,110,990,1800,1800
GET,/product/2ZYFJ3GM2N,2393,0,60,60.828355008758045,19.58585309330374,1026.0869120247662,7759.164646886753,4.001308078112444,0.0,60,83,88,90,95,100,110,110,760,1000,1000
GET,/product/66VCHSJNUP,2266,0,67,65.17272794121689,18.901761970482767,1852.6196000166237,7724.844218887908,3.788952822817718,0.0,67,84,89,92,97,100,110,110,970,1900,1900
GET,/product/6E92ZMYYFZ,2416,0,66,65.61414681215822,19.75775696337223,1030.27888701763,7715.525248344371,4.039766116472907,0.0,66,83,88,91,96,100,110,110,1000,1000,1000
GET,/product/9SIQT8TOJO,2256,0,68,66.51045213452852,19.939113990403712,1800.8280450012535,7767.07890070922,3.772231936574039,0.0,68,84,89,91,97,100,110,110,1000,1800,1800
GET,/product/L9ECAV7KIM,2327,0,62,64.83463101562467,19.913749070838094,1791.3163899211213,7734.513966480447,3.8909502289041615,0.0,62,83,89,91,97,100,110,110,1000,1800,1800
GET,/product/LS4PSXUNUM,2277,0,64,63.598272381358576,20.386575954034925,1028.75324501656,7731.81598594642,3.8073457976857656,0.0,64,84,89,91,97,100,110,110,1000,1000,1000
GET,/product/OLJCESPC7Z,2347,0,69,64.05146719085693,19.72273096907884,994.9925499968231,7766.00298253089,3.9243920013915203,0.0,69,84,89,91,96,100,110,110,890,990,990
POST,/setCurrency,3258,0,94,95.8766145717428,26.969466940499842,1075.95666393172,10289.196746470227,5.4476647381907,0.0,94,98,100,100,110,120,170,180,1000,1100,1100
,Aggregated,37001,0,84,80.71433512527834,18.901761970482767,1953.9714029524475,10264.096537931408,61.868951190237595,0.0,84,91,96,98,110,160,170,180,1000,1800,2000
