request_type,request_context,name,response_time
GET,index,/,3815.2103770989925
GET,index,/,3815.703512984328
GET,index,/,3807.482624077238
GET,index,/,3811.496300972067
GET,index,/,3815.0648339651525
GET,index,/,3818.6349109746516
GET,index,/,3819.050769903697
GET,index,/,3819.8629340622574
GET,index,/,3814.5209150388837
GET,index,/,3829.306746018119
GET,index,/,3823.4112390782684
GET,index,/,3826.3730140170082
GET,index,/,3833.47227901686
GET,index,/,3862.030412070453
GET,index,/,3872.0245369477198
GET,index,/,3880.856902920641
GET,index,/,3871.7113480670378
GET,index,/,3868.462695972994
GET,index,/,3888.326881919056
GET,index,/,3867.214797064662
GET,index,/,3866.7852910002694
GET,index,/,3868.4909890871495
GET,index,/,3869.207734009251
GET,index,/,3873.355353018269
GET,index,/,3876.1896890355274
GET,index,/,3867.69088904839
GET,index,/,3869.4525320315734
GET,index,/,3871.8198930146173
GET,index,/,3878.3901759888977
GET,index,/,3876.258276985027
GET,index,/,3881.044374080375
GET,index,/,3889.2980149248615
GET,index,/,3899.489640025422
GET,index,/,3896.8136310577393
GET,index,/,3895.1888140290976
GET,index,/,3922.864231048152
GET,index,/,3937.143482035026
GET,index,/,3929.030737024732
GET,index,/,3928.1630989862606
GET,index,/,3936.2509079510346
GET,index,/,3929.5270970324054
GET,index,/,3920.358402072452
GET,index,/,3940.1325290091336
GET,index,/,3927.2668989142403
GET,index,/,3936.1671319929883
GET,index,/,3938.588432967663
GET,index,/,3945.077033014968
GET,index,/,3950.091677950695
GET,index,/,3927.3702920181677
GET,index,/,3944.000322953798
GET,index,/,3944.9723559664562
GET,index,/,3952.919522067532
GET,index,/,3940.431197057478
GET,index,/,3932.728493004106
GET,index,/,3942.018716945313
GET,index,/,3940.237995935604
GET,index,/,3954.38634196762
GET,index,/,3940.4822940705344
GET,index,/,3955.086817033589
GET,index,/,3952.823140891269
GET,index,/,3963.1853359751403
GET,index,/,3957.489572931081
GET,index,/,3944.567607017234
GET,index,/,3960.547177004628
GET,index,/,3966.6275719646364
GET,index,/,3954.508531023748
GET,index,/,3962.0369009207934
GET,index,/,3974.0157490596175
GET,index,/,3963.0578060168773
GET,index,/,3974.2066070903093
GET,index,/,3958.0712049501017
GET,index,/,3956.416709930636
GET,index,/,3963.381313951686
GET,index,/,3979.65768200811
GET,index,/,3958.193061989732
GET,index,/,3972.9197330307215
GET,index,/,3993.7408060068265
GET,index,/,3993.307173019275
GET,index,/,3985.911511001177
GET,index,/,3972.0949159236625
GET,index,/,3992.5261969910935
GET,index,/,3979.78787496686
GET,index,/,3979.372725938447
GET,index,/,3989.502666052431
GET,index,/,3996.558881015517
GET,index,/,3998.000825056806
GET,index,/,3995.9167760098353
GET,index,/,3994.201618945226
GET,index,/,3990.382534917444
GET,index,/,3979.9776999279857
GET,index,/,3994.9170709587634
GET,index,/,3998.6653509549797
GET,index,/,3988.7781869620085
GET,index,/,3993.145738961175
GET,index,/,3997.141362982802
GET,index,/,4003.4930059919134
GET,index,/,3991.7595690349117
GET,index,/,4002.9111249605194
GET,index,/,3980.130016920157
GET,index,/,3986.11398099456
GET,viewCart,/cart,709.7528970334679
GET,viewCart,/cart,719.7226349962875
GET,viewCart,/cart,864.2189300153404
GET,viewCart,/cart,866.6528740432113
GET,viewCart,/cart,696.4891490060836
GET,viewCart,/cart,859.9235030123964
GET,viewCart,/cart,721.2601889623329
GET,viewCart,/cart,706.438530003652
GET,viewCart,/cart,872.08305997774
GET,viewCart,/cart,738.2923139957711
GET,viewCart,/cart,809.5894359285012
GET,viewCart,/cart,834.0536010218784
GET,viewCart,/cart,834.5998760778457
GET,viewCart,/cart,831.1575109837577
GET,viewCart,/cart,773.8663660129532
GET,viewCart,/cart,727.2598319686949
GET,browseProduct,/product/L9ECAV7KIM,1141.3888409733772
GET,browseProduct,/product/L9ECAV7KIM,1130.9875849401578
GET,browseProduct,/product/2ZYFJ3GM2N,1143.6894369544461
GET,browseProduct,/product/2ZYFJ3GM2N,1142.077813972719
GET,browseProduct,/product/L9ECAV7KIM,1143.131349934265
GET,browseProduct,/product/6E92ZMYYFZ,1149.243665044196
GET,browseProduct,/product/2ZYFJ3GM2N,1136.8733929703012
GET,index,/,3959.065909963101
GET,index,/,3951.9573770230636
GET,browseProduct,/product/2ZYFJ3GM2N,1089.892036980018
GET,browseProduct,/product/66VCHSJNUP,1091.5867850417271
GET,browseProduct,/product/1YMWWN1N4O,1084.4005369581282
GET,browseProduct,/product/1YMWWN1N4O,1087.4866039957851
GET,browseProduct,/product/2ZYFJ3GM2N,1107.9974239692092
GET,browseProduct,/product/LS4PSXUNUM,1119.6282389573753
GET,browseProduct,/product/6E92ZMYYFZ,1120.6044299760833
GET,browseProduct,/product/LS4PSXUNUM,1108.5418950533494
GET,browseProduct,/product/OLJCESPC7Z,1105.077798012644
GET,browseProduct,/product/9SIQT8TOJO,1088.537044939585
GET,browseProduct,/product/OLJCESPC7Z,1087.42032002192
GET,browseProduct,/product/1YMWWN1N4O,1087.0582909556106
GET,browseProduct,/product/66VCHSJNUP,1060.183156048879
GET,browseProduct,/product/L9ECAV7KIM,1104.0447709383443
GET,browseProduct,/product/L9ECAV7KIM,1140.603048959747
