Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1255,0,510.0,568.4707519754608,203.39867600705475,1788.9078370062634,10284.325099601594,7.080061213859221,0.0,510,540,590,610,720,1200,1800,1800,1800,1800,1800
GET,/cart,3461,0,270.0,316.29048090872317,82.81900105066597,1467.3056930187158,14430.276220745449,19.52517279774244,0.0,270,330,390,420,540,690,940,1100,1300,1500,1500
POST,/cart,3584,0,350.0,410.77774290122954,134.7546629840508,1938.6547799804248,18235.698102678572,20.219075211531035,0.0,350,430,470,520,620,770,1100,1300,1600,1900,1900
POST,/cart/checkout,1224,0,210.0,280.18412627155163,107.0610029855743,1991.0769059788436,6562.554738562091,6.90517523965234,0.0,210,280,300,310,390,510,1100,1200,1900,2000,2000
GET,/product/0PUK6V6EV0,1717,0,240.0,259.87702993594434,76.10961701720953,1260.1410890347324,7737.958066394875,9.686426377845644,0.0,240,260,270,280,320,390,910,990,1300,1300,1300
GET,/product/1YMWWN1N4O,1704,0,240.0,260.32413935001574,104.57048600073904,1263.5218109935522,7759.954812206573,9.613087098339532,0.0,240,260,270,280,320,380,940,1000,1300,1300,1300
GET,/product/2ZYFJ3GM2N,1680,0,240.0,263.74138607504955,68.32125096116215,1306.6674490110017,7757.730357142857,9.477691505405172,0.0,240,260,270,280,320,400,950,1100,1200,1300,1300
GET,/product/66VCHSJNUP,1694,0,240.0,266.8087405612782,92.25503000197932,1354.9935669871047,7723.195395513578,9.556672267950216,0.0,240,260,270,280,320,410,970,1100,1300,1400,1400
GET,/product/6E92ZMYYFZ,1696,0,240.0,266.02203034256166,89.71546101383865,1265.6412990181707,7714.337264150943,9.567955234028078,0.0,240,260,270,280,330,420,940,1000,1200,1300,1300
GET,/product/9SIQT8TOJO,1690,0,240.0,264.62368392957285,87.05148700391874,1285.7736839796416,7763.847337278106,9.534106335794489,0.0,240,260,270,280,320,390,950,1000,1200,1300,1300
GET,/product/L9ECAV7KIM,1743,0,240.0,262.66800975049,58.5899650468491,1265.3052679961547,7730.965002868617,9.833104936857866,0.0,240,260,270,280,320,400,930,1000,1200,1300,1300
GET,/product/LS4PSXUNUM,1682,0,240.0,265.17516919414487,67.32974998885766,1207.6768419938162,7732.682520808561,9.488974471483035,0.0,240,260,270,280,320,430,950,1000,1200,1200,1200
GET,/product/OLJCESPC7Z,1674,0,240.0,262.11331733238876,72.81168201006949,1264.0384220285341,7765.323178016726,9.443842607171582,0.0,240,260,270,280,320,390,950,1000,1200,1300,1300
POST,/setCurrency,2239,0,510.0,532.8547718834677,193.37503402493894,1465.611593972426,10288.276909334525,12.631280524167964,0.0,510,550,590,610,690,760,1000,1200,1400,1500,1500
,Aggregated,27043,0,260.0,326.96918132534006,58.5899650468491,1991.0769059788436,10264.575121103428,152.56262582182862,0.0,260,310,380,430,550,700,1000,1100,1800,1900,2000
