Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4144,0,2400.0,2611.6803213483213,1262.3465749202296,5038.769357022829,10263.405405405405,23.32842547497913,0.0,2400,2600,3100,3400,3800,4000,4800,5000,5000,5000,5000
GET,/cart,9493,0,2200.0,2303.153908420323,449.9538519885391,4802.989499992691,13350.073422521858,53.44033374372029,0.0,2200,2500,2600,2700,3100,3400,3700,3900,4500,4800,4800
POST,/cart,9385,0,3000.0,3054.0568361294954,736.9773869868368,5968.482500058599,17770.16334576452,52.83235354311755,0.0,3000,3200,3400,3500,3800,4100,4500,4700,5400,6000,6000
POST,/cart/checkout,3085,0,2000.0,1977.2534568817846,625.2342900261283,3240.147111006081,6561.896920583468,17.366841841291173,0.0,2000,2100,2200,2200,2400,2500,2700,2800,3200,3200,3200
GET,/product/0PUK6V6EV0,4547,0,2100.0,2131.332976053667,588.7920950772241,4602.011256967671,7694.235319991203,25.597092334635644,0.0,2100,2200,2300,2300,2500,2600,2800,3100,4100,4600,4600
GET,/product/1YMWWN1N4O,4689,0,2100.0,2116.361248295675,587.7797050634399,4180.938662029803,7713.019620388142,26.396473709502207,0.0,2100,2200,2300,2300,2400,2600,2700,2800,4000,4200,4200
GET,/product/2ZYFJ3GM2N,4699,0,2100.0,2127.1138479141628,580.2852209890261,4212.671675952151,7711.367312194084,26.452768172520976,0.0,2100,2200,2300,2300,2500,2600,2700,2900,4000,4200,4200
GET,/product/66VCHSJNUP,4580,0,2100.0,2124.79414969358,615.8034419640899,4326.016517006792,7681.847816593887,25.78286406259759,0.0,2100,2200,2300,2300,2500,2600,2700,2900,3900,4300,4300
GET,/product/6E92ZMYYFZ,4533,0,2100.0,2118.2522001868747,635.5897509492934,4619.875871925615,7667.50871387602,25.518280086409362,0.0,2100,2200,2300,2300,2400,2600,2700,2900,4200,4600,4600
GET,/product/9SIQT8TOJO,4685,0,2100.0,2118.708051981234,603.7760559702292,4168.006388936192,7717.089220917823,26.373955924294695,0.0,2100,2200,2300,2300,2500,2600,2700,2900,3800,4200,4200
GET,/product/L9ECAV7KIM,4539,0,2100.0,2120.8738149377646,601.5524460235611,4148.790691047907,7679.020929720203,25.552056764220623,0.0,2100,2200,2300,2300,2500,2600,2800,2900,4000,4100,4100
GET,/product/LS4PSXUNUM,4519,0,2100.0,2124.9488571921124,638.4717259788886,4223.2409990392625,7684.029652578004,25.43946783818308,0.0,2100,2200,2300,2300,2500,2600,2700,2900,3900,4200,4200
GET,/product/OLJCESPC7Z,4611,0,2100.0,2122.4714945831824,581.6101839300245,4137.751857982948,7716.376924745175,25.957376897955783,0.0,2100,2200,2300,2300,2500,2600,2700,2900,3900,4100,4100
POST,/setCurrency,6541,0,2300.0,2385.1260971135025,1062.9759959410876,4424.476383021101,10282.528206696225,36.82220826057878,0.0,2300,2500,2600,2700,2900,3200,3600,3800,4300,4400,4400
,Aggregated,74050,0,2200.0,2308.382824842041,449.9538519885391,5968.482500058599,10022.682862930453,416.8604986540069,0.0,2200,2400,2500,2600,3000,3400,3800,4100,5000,5500,6000
