request_type,request_context,name,response_time
GET,index,/,2741.268993995618
GET,index,/,2735.9466169727966
GET,index,/,2735.71209597867
GET,index,/,2750.2011420438066
GET,index,/,2756.4309429726563
GET,index,/,2743.2729320134968
GET,index,/,2746.8135399976745
GET,index,/,2784.27811403526
GET,index,/,2770.5223340308294
GET,index,/,2769.1768409567885
GET,index,/,2783.4327300079167
GET,index,/,2767.584614979569
GET,index,/,2781.5649079857394
GET,index,/,2777.9058269807138
GET,index,/,2782.392401015386
GET,index,/,2787.2575710061938
GET,index,/,2771.6395879979245
GET,index,/,2792.4012150033377
GET,index,/,2772.6514860405587
GET,index,/,2783.480309008155
GET,index,/,2776.7114989692345
GET,index,/,2779.4192550354637
GET,index,/,2795.382114010863
GET,index,/,2792.064854002092
GET,index,/,2776.4002649928443
GET,index,/,2794.472459005192
GET,index,/,2778.502615983598
GET,index,/,2795.7686689915136
GET,index,/,2783.401191001758
GET,index,/,2776.216449041385
GET,index,/,2780.572135990951
GET,index,/,2797.809104959015
GET,index,/,2781.1675629927777
GET,index,/,2787.6914649968967
GET,index,/,2784.993905981537
GET,index,/,2787.8118599765003
GET,index,/,2792.1976649668068
GET,index,/,2790.6124220462516
GET,index,/,2794.5888170506805
GET,index,/,2783.1490380340256
GET,index,/,2779.773730027955
GET,index,/,2798.8380240276456
GET,index,/,2795.006178028416
GET,index,/,2803.394977992866
GET,index,/,2785.584805009421
GET,index,/,2791.965498996433
GET,index,/,2791.445101960562
GET,index,/,2795.4441009787843
GET,index,/,2790.0847329874523
GET,index,/,2785.376493993681
GET,index,/,2784.000254003331
GET,index,/,2801.473335013725
GET,index,/,2796.9865929917432
GET,index,/,2800.213372975122
GET,index,/,2791.9810169842094
GET,index,/,2802.221317018848
GET,index,/,2793.193920981139
GET,index,/,2818.637496966403
GET,index,/,2814.6386590087786
GET,index,/,2800.6746179889888
GET,index,/,2821.783507009968
GET,index,/,2817.127446993254
GET,index,/,2817.0980609720573
GET,index,/,2811.6847820347175
GET,index,/,2809.1350910253823
GET,index,/,2811.5683940122835
GET,index,/,2820.2489679679275
GET,index,/,2811.722312006168
GET,index,/,2805.2997100166976
GET,index,/,2807.9168060212396
GET,index,/,2807.5428559677675
GET,index,/,2813.7119819875807
GET,index,/,2830.0269020255655
GET,index,/,2832.3090890189633
GET,index,/,2832.241023017559
GET,index,/,2825.053487031255
GET,index,/,2820.1948769856244
GET,index,/,2833.1182980327867
GET,index,/,2821.695771010127
GET,index,/,2827.2645830293186
GET,index,/,2821.653342980426
GET,index,/,2822.771780018229
GET,index,/,2817.912868980784
GET,index,/,2837.460257986095
GET,index,/,2834.647916024551
GET,index,/,2826.311905984767
GET,index,/,2839.488842000719
GET,index,/,2830.886132956948
GET,index,/,2830.810080980882
GET,index,/,2822.9667840059847
GET,index,/,2833.192367979791
GET,index,/,2834.466346015688
GET,index,/,2835.09159903042
GET,index,/,2833.5132689680904
GET,index,/,2830.952627991792
GET,index,/,2840.315964014735
GET,index,/,2837.208575976547
GET,index,/,2844.8396860039793
GET,index,/,2844.1431089886464
GET,index,/,2838.8391750049777
GET,index,/,2442.3138580168597
GET,index,/,2439.093501016032
GET,index,/,2441.618765995372
GET,index,/,2527.7964050183073
GET,index,/,2525.059293024242
GET,index,/,2639.384770009201
GET,index,/,2622.6646099821664
GET,index,/,2628.2244329922833
GET,index,/,2630.679676949512
GET,index,/,2628.4267230075784
GET,index,/,2633.8194140116684
GET,index,/,2641.834923007991
GET,index,/,2634.6913689631037
GET,index,/,2638.7387379654683
GET,index,/,2676.950332999695
GET,index,/,2664.3991399905644
GET,index,/,2661.656287033111
GET,index,/,2674.9915790278465
GET,index,/,2671.2031859788112
GET,index,/,2664.566883991938
GET,index,/,2678.906269953586
GET,index,/,2662.6393609913066
GET,index,/,2679.1200200095773
GET,index,/,2667.2243770444766
GET,index,/,2678.10705100419
GET,index,/,2687.604227976408
GET,index,/,2672.2021590103395
GET,index,/,2687.552800984122
GET,index,/,2671.4645460015163
GET,index,/,2689.7362550371327
GET,index,/,2673.744252009783
GET,index,/,2668.5104180360213
GET,index,/,2672.451167018153
GET,index,/,2679.9480030313134
GET,index,/,2679.561608005315
GET,index,/,2678.8533399812877
GET,index,/,2682.1947650169022
GET,index,/,2672.137568995822
GET,index,/,2679.742747975979
GET,index,/,2685.346063983161
GET,index,/,2681.0076799592935
GET,index,/,2670.9484590101056
GET,index,/,2683.910512016155
GET,index,/,2693.0684029939584
GET,index,/,2686.631955963094
GET,index,/,2689.6479190327227
GET,index,/,2692.664215050172
GET,index,/,2681.0526350163855
GET,index,/,2690.434225019999
GET,index,/,2679.03285700595
GET,index,/,2687.727058015298
GET,index,/,2686.0443739569746
GET,index,/,2692.78254697565
GET,index,/,2674.6127189835533
GET,index,/,2696.3606660137884
GET,index,/,2674.87250600243
GET,index,/,2676.619442005176
GET,index,/,2679.6321509755217
GET,index,/,2689.4886920345016
GET,index,/,2697.6868620258756
GET,index,/,2698.79029202275
GET,index,/,2687.6239249831997
GET,index,/,2701.05723204324
GET,index,/,2689.6289159776643
GET,index,/,2698.2110050157644
GET,index,/,2701.343108958099
GET,index,/,2705.476508010179
GET,index,/,2690.089469018858
GET,index,/,2683.1803640234284
GET,index,/,2688.1116590229794
GET,index,/,2700.0696600298397
GET,index,/,2690.0416070129722
GET,index,/,2699.022114975378
GET,index,/,2691.7703180224635
GET,index,/,2700.0253869919106
GET,index,/,2694.9788039783016
GET,index,/,2687.7630460076034
GET,index,/,2710.679001000244
GET,index,/,2705.240395036526
GET,index,/,2689.854997966904
GET,index,/,2696.4904490159824
GET,index,/,2707.616629952099
GET,index,/,2710.2031289832667
GET,index,/,2692.964418034535
GET,index,/,2710.5687159928493
GET,index,/,2690.421399020124
GET,index,/,2710.5285599827766
GET,index,/,2701.0830600047484
GET,index,/,2709.549835009966
GET,index,/,2709.6028930391185
GET,index,/,2695.3302529873326
GET,index,/,2711.5937970229425
GET,index,/,2704.0517650311813
GET,index,/,2708.872855990194
GET,index,/,2698.0519160279073
GET,index,/,2719.4753150106408
GET,index,/,2712.859118997585
GET,index,/,2709.2527879867703
GET,index,/,2700.6120470468886
GET,index,/,2705.3880019811913
GET,browseProduct,/product/66VCHSJNUP,1605.4585259989835
GET,browseProduct,/product/OLJCESPC7Z,1687.6052069710568
GET,browseProduct,/product/0PUK6V6EV0,1656.9626830169
GET,browseProduct,/product/L9ECAV7KIM,1690.7148170284927
GET,browseProduct,/product/6E92ZMYYFZ,1686.6654049954377
GET,browseProduct,/product/0PUK6V6EV0,1688.0653799744323
GET,browseProduct,/product/66VCHSJNUP,1658.921856957022
