Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1224,0,510.0,592.871871364099,299.8572670039721,2124.5254619861953,10283.036764705883,6.9040235621692485,0.0,510,560,600,620,720,1100,2100,2100,2100,2100,2100
GET,/cart,3596,0,260.0,299.1791838501212,78.5634420462884,1408.9044309803285,14316.570355951057,20.283389484935146,0.0,260,320,370,400,510,620,810,980,1300,1400,1400
POST,/cart,3612,0,350.0,393.5527775005497,139.16002702899277,2098.0560919851996,18166.924972314508,20.37363815895043,0.0,350,420,450,500,580,680,900,1200,2000,2100,2100
POST,/cart/checkout,1229,0,210.0,263.06934163040285,100.7947499747388,1875.3264429979026,6562.638730675346,6.932226272799025,0.0,210,270,300,300,390,470,800,930,1700,1900,1900
GET,/product/0PUK6V6EV0,1722,0,240.0,254.49798452073918,97.17616799753159,1147.4842689931393,7739.725319396051,9.713013540894973,0.0,240,260,270,280,310,370,710,920,1100,1100,1100
GET,/product/1YMWWN1N4O,1815,0,240.0,254.9108760269133,95.72483703959733,1280.9996950090863,7758.838567493113,10.237583958608813,0.0,240,260,270,280,310,360,680,880,1200,1300,1300
GET,/product/2ZYFJ3GM2N,1716,0,240.0,259.3039372477421,78.8562810048461,1273.9186859689653,7755.512237762237,9.679170288139241,0.0,240,260,270,280,320,390,810,940,1300,1300,1300
GET,/product/66VCHSJNUP,1708,0,240.0,260.2079852540193,83.14614597475156,1224.5619199820794,7723.670960187354,9.634045951131599,0.0,240,260,280,290,330,380,780,940,1200,1200,1200
GET,/product/6E92ZMYYFZ,1716,0,240.0,257.2694206759233,77.52787001663819,1212.7364720217884,7713.096153846154,9.679170288139241,0.0,240,260,270,280,310,370,820,1000,1100,1200,1200
GET,/product/9SIQT8TOJO,1761,0,240.0,254.71955536811018,97.32578898547217,1137.9114420269616,7763.513912549688,9.932994683807228,0.0,240,260,270,280,310,360,690,880,1100,1100,1100
GET,/product/L9ECAV7KIM,1714,0,240.0,256.1304104910599,104.03441201196983,1281.2888789922,7733.237456242707,9.66788920388733,0.0,240,260,270,280,320,380,740,960,1100,1300,1300
GET,/product/LS4PSXUNUM,1704,0,240.0,254.38286118629387,85.70740994764492,1125.1586209982634,7730.213615023475,9.611483782627777,0.0,240,260,270,280,320,380,700,880,1100,1100,1100
GET,/product/OLJCESPC7Z,1716,0,240.0,256.9889536336127,76.45770302042365,1150.0912079936825,7762.149184149184,9.679170288139241,0.0,240,260,270,280,320,370,800,940,1100,1200,1200
POST,/setCurrency,2384,0,520.0,546.2208370795665,241.48512404644862,1654.9842410022393,10287.013422818793,13.447052428277361,0.0,520,570,610,620,700,760,940,1000,1500,1700,1700
,Aggregated,27617,0,260.0,320.1778917077959,76.45770302042365,2124.5254619861953,10241.597204620342,155.77485189250666,0.0,260,310,370,420,540,640,830,1000,2100,2100,2100
