2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'currencyservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'currencyservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'currencyservice.default.svc.cluster.local', 'destination_service_name': 'currencyservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'currencyservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.113, '193.76666666666665']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'currencyservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'currencyservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'currencyservice.default.svc.cluster.local', 'destination_service_name': 'currencyservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'currencyservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.113, '134.56666666666666']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'recommendationservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'recommendationservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'recommendationservice.default.svc.cluster.local', 'destination_service_name': 'recommendationservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'recommendationservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.213, '103.72222222222221']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'recommendationservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'recommendationservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'recommendationservice.default.svc.cluster.local', 'destination_service_name': 'recommendationservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'recommendationservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.213, '86.16666666666666']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'adservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'adservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'adservice.default.svc.cluster.local', 'destination_service_name': 'adservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'adservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.312, '37.766666666666666']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'adservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'adservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'adservice.default.svc.cluster.local', 'destination_service_name': 'adservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'adservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.312, '44.56666666666666']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'productcatalogservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'productcatalogservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'productcatalogservice.default.svc.cluster.local', 'destination_service_name': 'productcatalogservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'productcatalogservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.486, '349.5666666666666']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'productcatalogservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'productcatalogservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'productcatalogservice.default.svc.cluster.local', 'destination_service_name': 'productcatalogservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'productcatalogservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.486, '284.3666666666666']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'cartservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'cartservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'cartservice.default.svc.cluster.local', 'destination_service_name': 'cartservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'cartservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.576, '109.64444444444443']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'cartservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'cartservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'cartservice.default.svc.cluster.local', 'destination_service_name': 'cartservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'cartservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.576, '85.53333333333332']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'checkoutservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'checkoutservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'checkoutservice.default.svc.cluster.local', 'destination_service_name': 'checkoutservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'checkoutservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.764, '25.999999999999996']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'checkoutservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'checkoutservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'checkoutservice.default.svc.cluster.local', 'destination_service_name': 'checkoutservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'checkoutservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.764, '8.666666666666666']}]
2023-12-05 18:07:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'shippingservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'shippingservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'shippingservice.default.svc.cluster.local', 'destination_service_name': 'shippingservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'shippingservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.849, '28.555555555555554']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'shippingservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'shippingservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'shippingservice.default.svc.cluster.local', 'destination_service_name': 'shippingservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'shippingservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799648.849, '11.633333333333331']}]
2023-12-05 18:08:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'currencyservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'currencyservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'currencyservice.default.svc.cluster.local', 'destination_service_name': 'currencyservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'currencyservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.401, '202.21111111111108']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'currencyservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'currencyservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'currencyservice.default.svc.cluster.local', 'destination_service_name': 'currencyservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'currencyservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.401, '137.29999999999998']}]
2023-12-05 18:08:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'recommendationservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'recommendationservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'recommendationservice.default.svc.cluster.local', 'destination_service_name': 'recommendationservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'recommendationservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.537, '58.85555555555555']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'recommendationservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'recommendationservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'recommendationservice.default.svc.cluster.local', 'destination_service_name': 'recommendationservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'recommendationservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.537, '84.93333333333332']}]
2023-12-05 18:08:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'adservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'adservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'adservice.default.svc.cluster.local', 'destination_service_name': 'adservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'adservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.617, '33.05555555555555']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'adservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'adservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'adservice.default.svc.cluster.local', 'destination_service_name': 'adservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'adservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.617, '41.14444444444444']}]
2023-12-05 18:08:28 - WARNING - more than one valid data[{'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'productcatalogservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'productcatalogservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'productcatalogservice.default.svc.cluster.local', 'destination_service_name': 'productcatalogservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'productcatalogservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.134:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-2cgq8', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.809, '202.96666666666664']}, {'metric': {'app': 'frontend', 'connection_security_policy': 'unknown', 'destination_app': 'productcatalogservice', 'destination_canonical_revision': 'latest', 'destination_canonical_service': 'productcatalogservice', 'destination_cluster': 'Kubernetes', 'destination_principal': 'spiffe://cluster.local/ns/default/sa/default', 'destination_service': 'productcatalogservice.default.svc.cluster.local', 'destination_service_name': 'productcatalogservice', 'destination_service_namespace': 'default', 'destination_version': 'unknown', 'destination_workload': 'productcatalogservice', 'destination_workload_namespace': 'default', 'grpc_response_status': '0', 'instance': '10.244.1.136:15020', 'job': 'kubernetes-pods', 'namespace': 'default', 'pod': 'frontend-6c686789d8-r5gv6', 'pod_template_hash': '6c686789d8', 'reporter': 'source', 'request_protocol': 'grpc', 'response_code': '200', 'response_flags': '-', 'security_istio_io_tlsMode': 'istio', 'service_istio_io_canonical_name': 'frontend', 'service_istio_io_canonical_revision': 'latest', 'source_app': 'frontend', 'source_canonical_revision': 'latest', 'source_canonical_service': 'frontend', 'source_cluster': 'Kubernetes', 'source_principal': 'spiffe://cluster.local/ns/default/sa/default', 'source_workload': 'frontend', 'source_workload_namespace': 'default'}, 'value': [1701799708.809, '278.5666666666666']}]
