request_type,request_context,name,response_time
GET,index,/,300.7636850234121
GET,index,/,297.69746505189687
GET,index,/,303.78774693235755
GET,index,/,304.7168799676001
GET,index,/,298.8274429226294
GET,index,/,308.2973649725318
GET,index,/,316.82424899190664
GET,index,/,316.32650597020984
GET,index,/,317.99295090604573
GET,index,/,314.96121594682336
GET,index,/,317.01686000451446
GET,viewCart,/cart,90.1042390614748
GET,viewCart,/cart,177.0189160015434
GET,viewCart,/cart,177.64940997585654
GET,browseProduct,/product/LS4PSXUNUM,211.7055079434067
GET,addToCartGet,/product/9SIQT8TOJO,203.23789597023278
GET,browseProduct,/product/2ZYFJ3GM2N,204.1793609969318
GET,browseProduct,/product/OLJCESPC7Z,116.52125895489007
GET,browseProduct,/product/1YMWWN1N4O,119.15790510829538
GET,browseProduct,/product/L9ECAV7KIM,183.38808394037187
GET,addToCartGet,/product/LS4PSXUNUM,186.73290801234543
POST,addToCartPost,/cart,189.60740708280355
GET,index,/,728.4673320828006
GET,index,/,735.291462042369
GET,index,/,734.1912299161777
GET,index,/,736.9930549757555
GET,index,/,736.9221930857748
GET,index,/,735.7079449575394
GET,index,/,737.2770870570093
GET,index,/,736.0650539631024
GET,browseProduct,/product/1YMWWN1N4O,147.46927993837744
GET,browseProduct,/product/0PUK6V6EV0,145.9152550669387
GET,index,/,751.4787249965593
GET,index,/,761.7218289524317
GET,index,/,756.5466519445181
GET,index,/,761.3232800504193
GET,index,/,752.7321759844199
GET,index,/,752.949204063043
GET,index,/,756.7769449669868
GET,index,/,765.1967459823936
GET,index,/,757.8030680306256
GET,index,/,759.8610579734668
GET,index,/,765.6759769888595
GET,index,/,761.1750529613346
GET,index,/,762.0548129780218
GET,index,/,764.5679370034486
GET,index,/,765.9430559724569
GET,index,/,768.6002500122413
GET,index,/,769.9405050370842
GET,index,/,768.5767670627683
GET,index,/,765.9722419921309
GET,index,/,760.0277110468596
GET,index,/,769.2331079160795
GET,index,/,770.5732010072097
GET,index,/,761.431835941039
GET,index,/,767.6602369174361
GET,index,/,772.5842730142176
GET,index,/,766.9819359434769
GET,index,/,761.7416550638154
GET,index,/,769.6546569932252
GET,index,/,770.9834510460496
GET,index,/,765.6226159306243
GET,index,/,764.710683026351
GET,index,/,491.22214992530644
POST,setCurrency,/setCurrency,494.12421393208206
POST,setCurrency,/setCurrency,501.0329020442441
POST,setCurrency,/setCurrency,501.63704494480044
POST,setCurrency,/setCurrency,490.7147389603779
GET,viewCart,/cart,121.3732820469886
GET,viewCart,/cart,129.76758694276214
GET,viewCart,/cart,129.46531001944095
GET,viewCart,/cart,124.35045500751585
GET,viewCart,/cart,127.0844719838351
GET,viewCart,/cart,122.53206595778465
POST,setCurrency,/setCurrency,505.20983594469726
POST,addToCartPost,/cart,196.67341094464064
GET,browseProduct,/product/LS4PSXUNUM,181.69549806043506
GET,browseProduct,/product/1YMWWN1N4O,181.55241897329688
GET,browseProduct,/product/LS4PSXUNUM,180.38653198163956
GET,browseProduct,/product/1YMWWN1N4O,223.6671029822901
GET,browseProduct,/product/2ZYFJ3GM2N,187.4674140708521
GET,browseProduct,/product/66VCHSJNUP,188.80036496557295
GET,browseProduct,/product/2ZYFJ3GM2N,195.76600997243077
GET,viewCart,/cart,95.71174799930304
GET,browseProduct,/product/OLJCESPC7Z,243.00687003415078
GET,browseProduct,/product/OLJCESPC7Z,288.4347289800644
GET,browseProduct,/product/LS4PSXUNUM,285.9628039877862
GET,browseProduct,/product/OLJCESPC7Z,288.9275640482083
GET,browseProduct,/product/66VCHSJNUP,293.58039202634245
GET,browseProduct,/product/66VCHSJNUP,287.96795394737273
GET,browseProduct,/product/6E92ZMYYFZ,293.28076902311295
GET,browseProduct,/product/66VCHSJNUP,285.7987160095945
GET,addToCartGet,/product/9SIQT8TOJO,296.65813501924276
GET,browseProduct,/product/LS4PSXUNUM,289.63392903096974
GET,browseProduct,/product/0PUK6V6EV0,168.96819393150508
GET,browseProduct,/product/6E92ZMYYFZ,303.5796369658783
GET,browseProduct,/product/OLJCESPC7Z,300.05843099206686
GET,browseProduct,/product/L9ECAV7KIM,301.77774804178625
GET,addToCartGet,/product/0PUK6V6EV0,307.8188479412347
GET,addToCartGet,/product/OLJCESPC7Z,309.4038220588118
GET,browseProduct,/product/0PUK6V6EV0,264.45759495254606
GET,addToCartGet,/product/LS4PSXUNUM,297.9869480477646
GET,browseProduct,/product/LS4PSXUNUM,305.5460159666836
GET,browseProduct,/product/0PUK6V6EV0,311.1094809137285
GET,browseProduct,/product/66VCHSJNUP,312.51965602859855
GET,addToCartGet,/product/66VCHSJNUP,309.26374008413404
GET,addToCartGet,/product/0PUK6V6EV0,317.3094899393618
GET,browseProduct,/product/6E92ZMYYFZ,318.55745101347566
GET,browseProduct,/product/1YMWWN1N4O,307.57085396908224
GET,addToCartGet,/product/1YMWWN1N4O,310.9895259840414
GET,viewCart,/cart,156.79224696941674
POST,setCurrency,/setCurrency,389.72265599295497
POST,setCurrency,/setCurrency,359.4024049816653
POST,setCurrency,/setCurrency,344.7447509970516
GET,index,/,346.6984439874068
POST,setCurrency,/setCurrency,371.2396670598537
GET,browseProduct,/product/1YMWWN1N4O,199.66842897702008
GET,addToCartGet,/product/0PUK6V6EV0,236.72588902991265
GET,addToCartGet,/product/L9ECAV7KIM,238.04908897727728
GET,browseProduct,/product/LS4PSXUNUM,234.56758097745478
GET,browseProduct,/product/1YMWWN1N4O,230.6997861014679
GET,browseProduct,/product/9SIQT8TOJO,213.24989397544414
GET,browseProduct,/product/9SIQT8TOJO,147.50554703641683
GET,browseProduct,/product/L9ECAV7KIM,215.5142721021548
GET,browseProduct,/product/9SIQT8TOJO,209.214314003475
GET,addToCartGet,/product/1YMWWN1N4O,217.33329293783754
GET,browseProduct,/product/6E92ZMYYFZ,93.01641001366079
GET,browseProduct,/product/OLJCESPC7Z,97.7931619854644
GET,browseProduct,/product/6E92ZMYYFZ,92.29625097941607
GET,viewCart,/cart,134.60551004391164
POST,addToCartPost,/cart,145.11576504446566
GET,index,/,415.9244529437274
POST,setCurrency,/setCurrency,445.92198997270316
POST,setCurrency,/setCurrency,407.4180769966915
POST,setCurrency,/setCurrency,443.8397940248251
POST,setCurrency,/setCurrency,407.0878380443901
GET,browseProduct,/product/0PUK6V6EV0,151.09317703172565
GET,browseProduct,/product/LS4PSXUNUM,160.29317409265786
GET,addToCartGet,/product/OLJCESPC7Z,162.1548969997093
GET,browseProduct,/product/L9ECAV7KIM,180.30584091320634
GET,browseProduct,/product/1YMWWN1N4O,180.25257205590606
GET,browseProduct,/product/L9ECAV7KIM,162.7614420140162
GET,browseProduct,/product/L9ECAV7KIM,158.22092606686056
GET,addToCartGet,/product/9SIQT8TOJO,172.3577220691368
GET,addToCartGet,/product/0PUK6V6EV0,164.45813502650708
GET,browseProduct,/product/2ZYFJ3GM2N,164.13199400994927
GET,browseProduct,/product/0PUK6V6EV0,185.19061303231865
GET,browseProduct,/product/0PUK6V6EV0,168.4252469567582
GET,browseProduct,/product/L9ECAV7KIM,194.44061303511262
GET,addToCartGet,/product/LS4PSXUNUM,192.51085410360247
GET,viewCart,/cart,150.19023302011192
GET,viewCart,/cart,183.53144207503647
POST,setCurrency,/setCurrency,405.8557180687785
POST,setCurrency,/setCurrency,405.8109929319471
POST,setCurrency,/setCurrency,376.2729180743918
POST,addToCartPost,/cart,173.62153390422463
POST,addToCartPost,/cart,239.0282980632037
POST,addToCartPost,/cart,240.46167498454452
POST,addToCartPost,/cart,229.7368299914524
POST,addToCartPost,/cart,172.97422897536308
POST,addToCartPost,/cart,241.60495901014656
POST,addToCartPost,/cart,233.34942501969635
POST,addToCartPost,/cart,232.95188893098384
POST,addToCartPost,/cart,180.29946903698146
GET,browseProduct,/product/LS4PSXUNUM,187.69102403894067
GET,addToCartGet,/product/2ZYFJ3GM2N,189.44576499052346
GET,addToCartGet,/product/0PUK6V6EV0,227.83549304585904
GET,browseProduct,/product/L9ECAV7KIM,208.7868229718879
GET,browseProduct,/product/L9ECAV7KIM,202.75655202567577
GET,browseProduct,/product/6E92ZMYYFZ,220.5579720903188
GET,browseProduct,/product/OLJCESPC7Z,251.06333999428898
GET,addToCartGet,/product/66VCHSJNUP,159.3654730822891
GET,browseProduct,/product/LS4PSXUNUM,166.52592504397035
GET,browseProduct,/product/6E92ZMYYFZ,158.7974859867245
GET,browseProduct,/product/LS4PSXUNUM,141.35228691156954
GET,addToCartGet,/product/2ZYFJ3GM2N,170.38605408743024
GET,browseProduct,/product/L9ECAV7KIM,145.90478490572423
GET,browseProduct,/product/2ZYFJ3GM2N,172.12430597282946
GET,browseProduct,/product/6E92ZMYYFZ,137.65074196271598
GET,browseProduct,/product/L9ECAV7KIM,137.06413295585662
GET,browseProduct,/product/6E92ZMYYFZ,141.43691409844905
GET,browseProduct,/product/2ZYFJ3GM2N,153.25048298109323
GET,browseProduct,/product/1YMWWN1N4O,143.9529040362686
GET,browseProduct,/product/L9ECAV7KIM,181.2444719253108
GET,viewCart,/cart,178.49685798864812
GET,viewCart,/cart,148.44996808096766
GET,viewCart,/cart,104.42912799771875
GET,viewCart,/cart,169.37858506571501
GET,index,/,340.59382299892604
POST,setCurrency,/setCurrency,338.9542889781296
POST,addToCartPost,/cart,164.57857191562653
GET,viewCart,/cart,205.71819704491645
POST,addToCartPost,/cart,166.16341494955122
POST,addToCartPost,/cart,161.8463679915294
POST,addToCartPost,/cart,179.73723402246833
GET,addToCartGet,/product/9SIQT8TOJO,159.7474099835381
GET,browseProduct,/product/9SIQT8TOJO,146.38926507905126
GET,browseProduct,/product/LS4PSXUNUM,147.53003395162523
GET,browseProduct,/product/1YMWWN1N4O,152.99579594284296
GET,browseProduct,/product/LS4PSXUNUM,150.23846400436014
GET,browseProduct,/product/L9ECAV7KIM,156.10469796229154
GET,browseProduct,/product/6E92ZMYYFZ,164.10707694012672
GET,addToCartGet,/product/9SIQT8TOJO,132.57079396862537
GET,browseProduct,/product/9SIQT8TOJO,119.85929100774229
GET,browseProduct,/product/OLJCESPC7Z,124.46407997049391
GET,browseProduct,/product/66VCHSJNUP,173.89851296320558
GET,browseProduct,/product/0PUK6V6EV0,164.88862200640142
GET,browseProduct,/product/9SIQT8TOJO,126.66381406597793
GET,addToCartGet,/product/LS4PSXUNUM,129.39102004747838
POST,checkout,/cart/checkout,196.79516996257007
POST,checkout,/cart/checkout,194.1460910020396
POST,checkout,/cart/checkout,197.45175202842802
GET,browseProduct,/product/LS4PSXUNUM,142.25319493561983
GET,viewCart,/cart,287.5665510073304
POST,addToCartPost,/cart,252.1100949961692
POST,addToCartPost,/cart,265.292713069357
GET,viewCart,/cart,218.31435395870358
POST,addToCartPost,/cart,266.0298040136695
POST,setCurrency,/setCurrency,506.67473301291466
GET,index,/,468.85269205085933
GET,index,/,476.53389908373356
POST,setCurrency,/setCurrency,502.0362939685583
POST,setCurrency,/setCurrency,480.4003220051527
GET,index,/,473.23528106790036
GET,addToCartGet,/product/9SIQT8TOJO,219.4724470609799
GET,addToCartGet,/product/66VCHSJNUP,245.18430407624692
GET,browseProduct,/product/LS4PSXUNUM,179.35757199302316
GET,addToCartGet,/product/0PUK6V6EV0,253.49264801479876
GET,addToCartGet,/product/6E92ZMYYFZ,255.5025490000844
GET,browseProduct,/product/9SIQT8TOJO,183.53540904354304
GET,browseProduct,/product/L9ECAV7KIM,216.2633459083736
GET,browseProduct,/product/1YMWWN1N4O,266.45319792442024
GET,browseProduct,/product/1YMWWN1N4O,254.5896649826318
GET,browseProduct,/product/1YMWWN1N4O,276.562080020085
GET,browseProduct,/product/LS4PSXUNUM,201.43431099131703
GET,addToCartGet,/product/L9ECAV7KIM,277.55622600670904
GET,browseProduct,/product/OLJCESPC7Z,291.0371399484575
GET,browseProduct,/product/66VCHSJNUP,202.79655698686838
GET,browseProduct,/product/0PUK6V6EV0,233.06614393368363
POST,addToCartPost,/cart,242.814208031632
POST,addToCartPost,/cart,303.345357067883
POST,addToCartPost,/cart,222.23304398357868
GET,addToCartGet,/product/1YMWWN1N4O,233.2391879754141
GET,browseProduct,/product/0PUK6V6EV0,227.95206203591079
GET,browseProduct,/product/LS4PSXUNUM,219.6573739638552
GET,browseProduct,/product/L9ECAV7KIM,303.5264479694888
GET,browseProduct,/product/LS4PSXUNUM,312.23146605771035
GET,browseProduct,/product/1YMWWN1N4O,293.6238329857588
GET,viewCart,/cart,200.20754996221513
GET,browseProduct,/product/2ZYFJ3GM2N,308.648445061408
GET,addToCartGet,/product/LS4PSXUNUM,318.7095560133457
GET,browseProduct,/product/0PUK6V6EV0,301.5185201074928
GET,browseProduct,/product/L9ECAV7KIM,231.480409973301
GET,addToCartGet,/product/6E92ZMYYFZ,215.39483789820224
