Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2494,0,400.0,414.23590105666824,161.8552029831335,1301.3522430555895,10287.447072975141,8.383572679687326,0.0,400,430,470,490,520,590,770,890,1200,1300,1300
GET,/cart,7424,0,210.0,250.78003963669508,77.17481791041791,1391.46928593982,14383.049703663793,24.95575123255762,0.0,210,270,310,340,410,490,600,770,1100,1400,1400
POST,/cart,7631,0,290.0,321.8051070695133,124.7559959301725,2054.8722910461947,18278.72598610929,25.65158104197834,0.0,290,340,370,420,470,550,710,940,1400,2100,2100
POST,/cart/checkout,2488,0,200.0,241.67805991573124,94.94865604210645,1691.9187039602548,6562.41961414791,8.363403699704117,0.0,200,210,280,290,300,380,810,990,1200,1700,1700
GET,/product/0PUK6V6EV0,3606,0,200.0,207.0894133718891,67.22813099622726,1151.3271590229124,7742.112590127565,12.121556969908779,0.0,200,220,230,240,260,280,350,790,1100,1200,1200
GET,/product/1YMWWN1N4O,3565,0,200.0,208.9777374999313,66.20201596524566,1163.8586439657956,7762.7590462833095,11.983735606690182,0.0,200,220,230,240,260,280,360,840,1100,1200,1200
GET,/product/2ZYFJ3GM2N,3575,0,200.0,208.32344180047903,62.51085293479264,1090.855143032968,7758.377622377622,12.017350573328864,0.0,200,220,240,240,260,280,330,820,1100,1100,1100
GET,/product/66VCHSJNUP,3533,0,200.0,209.6127188383469,69.12905699573457,1153.4605299821123,7726.200113218229,11.8761677134464,0.0,200,220,230,240,260,280,370,830,1100,1200,1200
GET,/product/6E92ZMYYFZ,3535,0,200.0,210.66465124298847,66.4228000678122,1154.1364500299096,7715.603111739745,11.882890706774136,0.0,200,220,240,240,260,280,360,830,1100,1200,1200
GET,/product/9SIQT8TOJO,3604,0,200.0,208.6014806228477,52.14935808908194,1150.599593995139,7765.870144284128,12.114833976581043,0.0,200,220,240,240,260,280,330,760,1100,1200,1200
GET,/product/L9ECAV7KIM,3644,0,200.0,210.31683787118115,58.735411032103,1163.1787499645725,7734.229692645445,12.24929384313577,0.0,200,220,240,250,260,280,360,790,1100,1200,1200
GET,/product/LS4PSXUNUM,3596,0,200.0,209.63464134432468,62.95752094592899,1151.0847760364413,7732.446885428254,12.087942003270097,0.0,200,220,240,240,260,280,350,830,1100,1200,1200
GET,/product/OLJCESPC7Z,3597,0,200.0,209.78082272148137,64.95716096833348,1172.5875659612939,7765.041145398944,12.091303499933964,0.0,200,220,240,240,260,280,360,850,1100,1200,1200
POST,/setCurrency,5055,0,410.0,422.97660433275036,111.84409796260297,1303.6278618965298,10289.078536102868,16.992365635853822,0.0,410,440,470,490,530,600,730,930,1200,1300,1300
,Aggregated,57347,0,220.0,258.74834944341495,52.14935808908194,2054.8722910461947,10289.439395260431,192.77174918285047,0.0,220,260,290,330,420,500,640,860,1200,1700,2100
