Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1708726399,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708726402,300,POST,compose_post,0.000000,0.000000,1400,1900,1900,1900,2000,2100,2300,2300,2300,2300,2300,37,1,1200.0,1199.3286509658335,33.296320820227265,2308.671175967902,25.54054054054054
1708726402,300,GET,index,0.000000,0.000000,120,130,150,160,170,170,180,180,180,180,180,300,0,120.0,124.12752999924123,56.19747610762715,229.0538491215557,2583.0
1708726402,300,GET,read_home_timeline,0.000000,0.000000,1000,1200,1900,1900,2000,2000,2100,2100,2100,2100,2100,225,0,830.0,815.3188040459322,94.91084795445204,2086.8852788116783,3.0
1708726402,300,GET,read_user_timeline,0.000000,0.000000,42,47,51,53,60,67,73,82,86,86,86,250,0,41,42.5329462364316,4.359256941825151,172.74413304403424,3.0
1708726402,300,,Aggregated,0.000000,0.000000,120,160,890,1000,1300,1900,2000,2000,2300,2300,2300,812,1,120.0,339.5238750676735,4.359256941825151,2308.671175967902,957.2290640394089
1708726405,600,POST,compose_post,16.750000,0.250000,1200,1400,1600,1800,2200,2300,2400,2500,2500,2500,2500,206,4,1200.0,1169.4000166777557,33.296320820227265,2506.0144970193505,25.388349514563107
1708726405,600,GET,index,100.000000,0.000000,130,160,180,200,300,320,350,360,370,370,370,600,0,130.0,152.00802193023264,56.19747610762715,365.6701489817351,2583.0
1708726405,600,GET,read_home_timeline,99.250000,0.000000,1200,1300,1500,1600,2000,2300,2400,2500,2500,2500,2500,1132,0,1100.0,1145.078381408103,94.91084795445204,2545.0475190300494,107.92226148409894
1708726405,600,GET,read_user_timeline,92.500000,0.000000,73,120,140,160,190,230,250,260,280,280,280,847,0,69,91.509368319016,4.359256941825151,283.372500911355,9.057851239669422
1708726405,600,,Aggregated,308.500000,0.250000,310,940,1200,1300,1600,2000,2400,2400,2500,2500,2500,2785,4,250.0,612.5092923927958,4.359256941825151,2545.0475190300494,604.9802513464991
1708726408,900,POST,compose_post,35.285714,0.714286,1200,1500,1700,1800,2000,2300,2500,2800,3000,3000,3000,413,6,1200.0,1258.323998786915,33.296320820227265,3018.9683858770877,25.290556900726394
1708726408,900,GET,index,100.000000,0.000000,140,160,200,280,520,550,560,580,590,590,590,900,0,130.0,189.05815174104646,56.19747610762715,593.5302891302854,2583.0
1708726408,900,GET,read_home_timeline,190.285714,0.000000,1300,1400,1600,1700,2000,2300,2500,2700,3000,3000,3000,2313,0,1200.0,1277.9399872295658,94.91084795445204,3049.41046400927,317.30739299610894
1708726408,900,GET,read_user_timeline,135.285714,0.000000,120,160,200,240,370,500,610,620,800,800,800,1447,0,120.0,152.45191067387688,4.359256941825151,804.8668261617422,8.590186592950934
1708726408,900,,Aggregated,460.857143,0.714286,660,1100,1300,1400,1800,2000,2400,2500,3000,3000,3000,5073,6,550.0,762.1354727524193,4.359256941825151,3049.41046400927,607.4328799526908
1708726411,1200,POST,compose_post,42.300000,0.700000,1400,1700,1900,2000,2300,2500,2900,2900,3000,3000,3000,551,9,1400.0,1415.6220048740372,33.296320820227265,3018.9683858770877,25.326678765880217
1708726411,1200,GET,index,100.000000,0.000000,280,390,520,550,610,710,770,820,840,840,840,1200,0,160.0,270.2038345307422,56.19747610762715,839.2662759870291,2583.0
1708726411,1200,GET,read_home_timeline,241.400000,0.000000,1500,1800,1900,2000,2300,2500,2800,2900,3000,3100,3100,3324,0,1400.0,1483.8229294310304,94.91084795445204,3084.5529371872544,535.1639590854393
1708726411,1200,GET,read_user_timeline,167.200000,0.000000,170,250,310,370,450,550,620,760,1000,1100,1100,2077,0,150.0,199.76352689272986,4.359256941825151,1103.4669168293476,6.894559460760712
1708726411,1200,,Aggregated,550.900000,0.700000,880,1300,1500,1700,2100,2400,2600,2800,3000,3100,3100,7152,9,690.0,902.0397915139024,4.359256941825151,3084.5529371872544,686.0682326621924
1708726414,1500,POST,compose_post,54.700000,0.800000,1800,2000,2200,2300,2700,2800,3000,3000,3400,3400,3400,729,10,1600.0,1593.7281082842924,33.296320820227265,3446.334311971441,25.27434842249657
1708726414,1500,GET,index,90.600000,0.000000,520,580,680,730,1200,1400,1800,2200,2600,2600,2600,1404,0,210.0,384.98778821269656,56.19747610762715,2580.2078449632972,2583.0
1708726414,1500,GET,read_home_timeline,333.500000,0.000000,1800,2100,2200,2300,2600,2800,3000,3100,3500,3800,3800,4516,0,1700.0,1664.0714547540983,94.91084795445204,3784.8082818090916,743.4980070859167
1708726414,1500,GET,read_user_timeline,190.300000,0.000000,280,380,440,500,760,950,1100,1200,1600,1600,1600,2369,0,170.0,265.18848493817916,4.359256941825151,1628.6443918943405,7.460109750949768
1708726414,1500,,Aggregated,669.100000,0.800000,1300,1800,2000,2100,2400,2600,2900,3000,3400,3800,3800,9018,10,1000.0,1091.7641224304646,4.359256941825151,3784.8082818090916,778.4727212242183
1708726417,1800,POST,compose_post,55.000000,0.800000,2200,2500,2800,2900,3500,3800,4400,4500,4600,4600,4600,820,13,1700.0,1794.8405876400789,33.296320820227265,4617.78349801898,25.317073170731707
1708726417,1800,GET,index,83.700000,0.000000,720,1200,1300,1500,2300,2700,5200,5200,5900,5900,5900,1675,0,320.0,610.687420300778,56.19747610762715,5927.356442902237,2583.0
1708726417,1800,GET,read_home_timeline,383.500000,0.000000,2000,2200,2400,2400,2700,2900,3100,3300,4000,4200,4200,5557,0,1800.0,1749.1184877744054,94.91084795445204,4202.185563975945,968.0329314378262
1708726417,1800,GET,read_user_timeline,167.500000,0.000000,430,800,1200,2700,3600,3800,4000,4400,4500,4600,4600,2668,0,200.0,615.511208703805,4.359256941825151,4558.810498099774,7.321589205397301
1708726417,1800,,Aggregated,689.700000,0.800000,1800,2100,2300,2400,2800,3300,3800,4200,5200,5900,5900,10720,13,1300.0,1292.6031765161185,4.359256941825151,5927.356442902237,909.1583955223881
1708726420,2000,POST,compose_post,47.800000,0.800000,2800,3400,3700,4000,4600,5000,5400,5800,6000,6000,6000,982,15,1900.0,2134.3898493720717,33.296320820227265,5971.092293970287,25.356415478615073
1708726420,2000,GET,index,87.100000,0.000000,1100,1300,1500,1600,2400,3100,5200,5200,8100,8100,8100,1849,0,360.0,640.1585141546155,56.19747610762715,8124.555929098278,2583.0
1708726420,2000,GET,read_home_timeline,362.500000,0.000000,2200,2500,2600,2700,3000,3300,3900,4300,5500,6300,6300,6368,5,1900.0,1867.0935351824596,78.19652603939176,6289.859609911218,1111.7170226130654
1708726420,2000,GET,read_user_timeline,142.900000,0.000000,2500,3300,3500,3700,4200,4500,5000,5300,5800,6200,6200,3208,3,290.0,1013.2560760546023,4.359256941825151,6224.324340932071,10.789588528678305
1708726420,2000,,Aggregated,640.300000,0.800000,2200,2500,2800,2900,3600,4100,4900,5200,5900,8100,8100,12407,23,1400.0,1484.6297290868324,4.359256941825151,8124.555929098278,960.3364229870234
1708726423,2000,POST,compose_post,48.600000,0.700000,3900,4200,4500,4700,5300,5900,6600,7200,8200,8200,8200,1139,15,2100.0,2452.25239329713,33.296320820227265,8151.008693967015,25.307287093942055
1708726423,2000,GET,index,70.600000,0.000000,1200,1500,1600,1800,2700,5200,5700,9100,12000,12000,12000,1859,0,370.0,682.318076047863,56.19747610762715,11946.260173106566,2583.0
1708726423,2000,GET,read_home_timeline,340.500000,0.500000,2600,2800,3100,3200,3800,4400,4900,5100,5500,6300,6300,7240,5,2000.0,2040.1551123021572,78.19652603939176,6289.859609911218,1271.6226519337017
1708726423,2000,GET,read_user_timeline,123.000000,0.300000,3500,3900,4200,4300,4600,5100,5600,6100,7800,7900,7900,3576,3,380.0,1335.00850615731,4.359256941825151,7851.459764875472,12.858501118568233
1708726423,2000,,Aggregated,582.700000,1.500000,2700,3200,3500,3800,4400,4900,5400,5900,11000,12000,12000,13814,23,1600.0,1708.8647900987762,4.359256941825151,11946.260173106566,1019.4840017373679
