totalTime,avgCost,totalCost
10,1.5,0.25
20,1.5,0.5
30,1.5,0.75
40,1.5,1.0
50,1.5,1.25
60,1.5,1.5
70,1.5,1.75
80,1.5,2.0
90,1.5,2.25
100,1.5,2.5
110,1.5,2.75
120,1.5,3.0
130,1.5,3.25
140,1.5,3.5
150,1.5,3.75
160,1.5,4.0
170,1.5,4.25
180,1.5,4.5
190,1.5,4.75
200,1.5,5.0
210,1.5,5.25
220,1.5,5.5
230,1.5,5.75
240,1.5,6.0
250,1.5,6.25
260,1.5,6.5
270,1.5,6.75
280,1.5,7.0
290,1.5,7.25
300,1.5,7.5
310,1.5,7.75
320,1.5,8.0
330,1.5,8.25
340,1.5,8.5
350,1.5,8.75
360,1.5,9.0
370,1.5,9.25
380,1.5,9.5
390,1.5,9.75
400,1.5,10.0
410,1.5,10.25
420,1.5,10.5
430,1.5,10.75
440,1.5,11.0
450,1.5,11.25
460,1.5,11.5
470,1.5,11.75
480,1.5,12.0
490,1.5,12.25
500,1.5,12.5
510,1.5,12.75
520,1.5,13.0
530,1.5,13.25
540,1.5,13.5
550,1.5,13.75
560,1.5,14.0
570,1.5,14.25
580,1.5,14.5
590,1.5,14.75
600,1.5,15.0
610,1.5,15.25
620,1.5,15.5
