totalTime,avgCost,totalCost
10,5.0,0.8333333333333333
20,5.0,1.6666666666666665
30,5.0,2.5
40,5.0,3.333333333333333
50,4.999999999999999,4.166666666666666
60,4.999999999999999,4.999999999999999
70,4.999999999999999,5.833333333333332
80,4.999999999999999,6.666666666666665
90,4.999999999999999,7.499999999999998
100,4.999999999999999,8.333333333333332
110,5.0,9.166666666666666
120,5.0,10.0
130,5.000000000000001,10.833333333333334
140,5.000000000000001,11.666666666666668
150,5.000000000000001,12.500000000000002
