totalTime,avgCost,totalCost
10,3.0,0.5
20,3.0,1.0
30,3.0,1.5
40,3.0,2.0
50,3.0,2.5
60,3.0,3.0
70,3.0,3.5
80,3.0,4.0
90,3.0,4.5
100,3.0,5.0
110,3.0,5.5
120,3.0,6.0
130,3.0,6.5
140,3.0,7.0
150,3.0,7.5
160,3.0,8.0
170,3.0,8.5
180,3.0,9.0
190,3.0,9.5
200,3.0,10.0
210,3.0,10.5
220,3.0,11.0
230,3.0,11.5
240,3.0,12.0
250,3.0,12.5
260,3.0,13.0
270,3.0,13.5
280,3.0,14.0
290,3.0,14.5
300,3.0,15.0
310,3.0,15.5
320,3.0,16.0
330,3.0,16.5
340,3.0,17.0
350,3.0,17.5
360,3.0,18.0
370,3.0,18.5
380,3.0,19.0
390,3.0,19.5
400,3.0,20.0
410,3.0,20.5
420,3.0,21.0
430,3.0,21.5
440,3.0,22.0
450,3.0,22.5
460,3.0,23.0
470,3.0,23.5
480,3.0,24.0
490,3.0,24.5
500,3.0,25.0
510,3.0,25.5
520,3.0,26.0
530,3.0,26.5
540,3.0,27.0
550,3.0,27.5
560,3.0,28.0
570,3.0,28.5
580,3.0,29.0
590,3.0,29.5
600,3.0,30.0
610,3.0,30.5
620,3.0,31.0
